21:45:42 第三轮精细化回测：34 只待降档
  001382 新亚电缆: step 0.1 → 0.02
  603908 牧高笛: step 0.1 → 0.02
  605011 杭州热电: step 0.1 → 0.02
  600072 中船科技: step 0.1 → 0.02
  002893 京能热力: step 0.1 → 0.02
  300675 建科院: step 0.1 → 0.02
  300549 优德精密: step 0.1 → 0.02
  603600 永艺股份: step 0.1 → 0.02
  301106 骏成科技: step 0.1 → 0.02
  300424 航新科技: step 0.1 → 0.02
  301131 聚赛龙: step 0.2 → 0.05
  688212 澳华内镜: step 0.2 → 0.05
  300565 科信技术: step 0.1 → 0.02
  600985 淮北矿业: step 0.1 → 0.02
  001256 炜冈科技: step 0.1 → 0.02
  301041 金百泽: step 0.1 → 0.02
  300319 麦捷科技: step 0.1 → 0.02
  301516 中远通: step 0.1 → 0.02
  300541 先进数通: step 0.1 → 0.02
  603888 新华网: step 0.1 → 0.02
  603194 中力股份: step 0.5 → 0.05
  301567 贝隆精密: step 0.2 → 0.05
  300707 威唐工业: step 0.1 → 0.02
  301622 英思特: step 0.5 → 0.05
  002355 兴民智通: step 0.05 → 0.02
  003029 吉大正元: step 0.2 → 0.05
  300540 蜀道装备: step 0.2 → 0.05
  600975 新五丰: step 0.05 → 0.02
  000025 特力Ａ: step 0.1 → 0.02
  603551 奥普科技: step 0.1 → 0.02
  601949 中国出版: step 0.05 → 0.02
  002462 嘉事堂: step 0.1 → 0.02
  300388 节能国祯: step 0.05 → 0.02
  002609 捷顺科技: step 0.05 → 0.02
  进度: 8000/373680 (2.1%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 5000/358281 (1.4%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 5000/33153 (15.1%), 步长=0.02, 当前最优: B=11.17 S=14.19 ret=80.34% score=46.60
  进度: 8500/373680 (2.3%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 5500/142311 (3.9%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 9000/373680 (2.4%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 5500/33153 (16.6%), 步长=0.02, 当前最优: B=11.17 S=14.19 ret=80.34% score=46.60
  进度: 5500/358281 (1.5%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 6000/142311 (4.2%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 9500/373680 (2.5%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 6000/358281 (1.7%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 10000/373680 (2.7%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 6000/33153 (18.1%), 步长=0.02, 当前最优: B=11.17 S=14.19 ret=80.34% score=46.60
